artist,album,track
Tori Amos,The Light Princess,Amphibiava
Cardi B,Invasion of Privacy,Bickenhead
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",The Jam Song
Cardi B,Invasion of Privacy,Drip (feat. Migos)
Nirvana,MTV Unplugged In New York,About A Girl
Tori Amos,The Light Princess,Gravity - Bonus Track
Tacocat,This Mess Is a Place,The Problem
Dj Decent,The Funky Breaks,Reflex Speed
Tune-Yards,W H O K I L L,Bizness
Mitski,Be the Cowboy,A Pearl
Tori Amos,The Light Princess,Crash In The Universe
Richard F.,The Funky Breaks,J-Break
Sango,In The Comfort Of,Comfortable (feat. Ryan Ashley)
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Mr. Greg
Björk,Vulnicura,History of Touches
Mirah,(A)SPERA,The River
Ane Brun,Rarities,Halo
Taylor Swift,reputation,Dancing With Our Hands Tied
Big K.R.I.T.,TDT,Learned From Texas
Björk,Vespertine,Unison
Lotte Kestner,The Bluebird of Happiness,Wrestler
Tori Amos,The Light Princess,Highness In The Sky - Bonus Track
Sango,In The Comfort Of,Speak
Pimp C,Long Live The Pimp,Bitch Get Down
Mirah,Changing Light,Gold Rush
Mitski,Be the Cowboy,Two Slow Dancers
Lotte Kestner,The Bluebird of Happiness,Halo
T.I.,Us Or Else: Letter To The System,Picture Me Mobbin
Nirvana,In Utero - 20th Anniversary Remaster,Rape Me
A Sign Of The Times,The Funky Breaks,Sign
Jidenna,Boomerang,Little Bit More (feat. Burna Boy) - Remix
Björk,Debut,Aeroplane
Sia,This Is Acting,Bird Set Free
Tori Amos,The Light Princess,My Little Girl’s Smile
Bun B,Return of the Trill,Gone Away (feat. Leon Bridges & Gary Clark Jr.)
Seth Avett & Jessica Lea Mayfield,Seth Avett & Jessica Lea Mayfield Sing Elliott Smith,Between the Bars
Taylor Swift,reputation,End Game
Nirvana,MTV Unplugged In New York,The Man Who Sold The World
Jidenna,The Chief,"Safari (feat. Janelle Monáe, St. Beauty & Nana Kwabena)"
Sango,In The Comfort Of,His Name
Björk,Debut,Venus as a Boy
Björk,Vulnicura,Mouth Mantra
Beirut,The Flying Club Cup,Nantes
Björk,Vulnicura,Quicksand
Thinkhead,The Funky Breaks,The Pledge
Björk,"Vulnicura Strings (Vulnicura: The Acoustic Version - Strings , Voice and Viola Organista Only)",Lionsong
Mitski,Bury Me At Makeout Creek,Francis Forever
Sango,In The Comfort Of,Light-Skinned (feat. midnight)
Tori Amos,The Light Princess,Better Than Good
RZA,Digital Bullet,La Rhumba
Mitski,"Retired from Sad, New Career in Business",Class of 2013
Nine Inch Nails,Things Falling Apart,Where Is Everybody? - Remix Version
Tori Amos,The Light Princess,Sealand Supremacy
Westside Gunn,Supreme Blientele,Wrestlemania 20
Mirah,Understanding,Lighthouse
Big K.R.I.T.,TDT,Higher (King Pt. 6)
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Steven and the Crystal Gems
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Both of You
Nirvana,In Utero - 20th Anniversary Remaster,Milk It
Mirah,(A)SPERA,The Forest
Björk,Utopia,Courtship
Tori Amos,The Light Princess,After Darkest Hour
Cardi B,Invasion of Privacy,Get Up 10
Run The Jewels,Run the Jewels 3,Thursday in the Danger Room (feat. Kamasi Washington)
Björk,"Vulnicura Strings (Vulnicura: The Acoustic Version - Strings , Voice and Viola Organista Only)",Atom Dance
Tori Amos,The Light Princess,"Proverbs & Let The Bells Ring & God, The Horror"
Red Myers,The Funky Breaks,Silent Partner
Björk,Debut,Violently Happy
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",I Could Never Be (Ready)
Björk,Blissing Me,Blissing Me
Sango,In The Comfort Of,Twogether (feat. Jesse Boykins III)
Blood Orange,Angel's Pulse,Gold Teeth
Big K.R.I.T.,TDT,4 Tha Three
Run The Jewels,Run the Jewels 3,Call Ticketron
T.I.,Us Or Else: Letter To The System,Switchin Lanes
Björk,"Vulnicura Strings (Vulnicura: The Acoustic Version - Strings , Voice and Viola Organista Only)",Stonemilker
Tacocat,This Mess Is a Place,Crystal Ball
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Cookie Cat
Cardi B,Invasion of Privacy,I Do (feat. SZA)
Nirvana,In Utero - 20th Anniversary Remaster,Radio Friendly Unit Shifter
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Lapis Lazuli
Tori Amos,The Light Princess,My Fairy-Story
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Full Disclosure
Mitski,"Retired from Sad, New Career in Business",Shame (Jammin' Out Solo Version)
Kacey Musgraves,Golden Hour,Golden Hour
Run The Jewels,Run the Jewels 3,Legend Has It
Mirah,Changing Light,I Am the Garden
Julia Jacklin,Someday,Someday - triple j Like A Version
Lotte Kestner,The Bluebird of Happiness,Pairs
Beirut,The Flying Club Cup,Cherbourg
Mitski,Bury Me At Makeout Creek,Jobless Monday
